species_url_clean,specific_name_clean,count_wfo
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06980,schefflera cephalotes (c.b.clarke) harms,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06940,aralia armata (wall. ex g.don) seem.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06934,viola yunnanensis w.becker & boissieu,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07151,begonia modestiflora kurz,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06933,viola sumatrana miq.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06897,persicaria perfoliata (l.) h.gross,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06896,persicaria paradoxa (h.lév.) kantachot,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06895,persicaria orientalis (l.) spach,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06894,persicaria odorata (lour.) soják,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06893,persicaria nepalensis (meisn.) h.gross,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06892,persicaria muricata (meisn.) nemoto,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06891,persicaria minor (huds.) opiz,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06888,persicaria lapathifolia (l.) s.f. gray,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06887,persicaria hydropiper (l.) spach.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06886,persicaria greuteriana galasso,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06885,persicaria glabra (willd.) m.gómez,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06884,persicaria dichotoma (blume) masam.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06880,persicaria chinensis (l.) h.gross,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06879,persicaria capitata (buch.-ham. ex d.don) h.gross,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06876,persicaria barbata (l.) h.hara,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06874,persicaria attenuata (r.br.) soják,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06855,terniopsis ubonensis m.kato,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06854,terniopsis ramosa m.kato,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06853,terniopsis minor m.kato & koi,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06852,terniopsis malayana (j.dransf. & whitmore) m.kato,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06851,"terniopsis heterostaminata werukamkul, ampornpan, koi & m.kato",2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06898,persicaria posumbu (buch.-ham. ex d.don) h.gross,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06899,persicaria pubescens (blume) h.hara,2
