bkf_specific_name,bkf_wfo_id,specific_name_clean,bkf_wfo_full_name,o7_wfo_id,o7_wfo_full_name,cand_wfo_id,cand_wfo_full_name,wfo_id_final,wfo_source,conflict_bkf_vs_o7,conflict_bkf_vs_cand,conflict_o7_vs_cand,any_conflict,wfo_full_name_final
Derris alborubra Hemsl.,wfo-0000197431,derris alborubra hemsl.,This is currently accepted.,wfo-0000197431,Derris alborubra Hemsl.,,,wfo-0000197431,bkf_original,False,False,False,False,Derris alborubra Hemsl.
Derris reticulata Craib,wfo-0000200311,derris reticulata craib,This is currently accepted.,wfo-0000200311,Derris reticulata Craib,,,wfo-0000200311,bkf_original,False,False,False,False,Derris reticulata Craib
Derris tonkinensis Gagnep.,wfo-0000197424,derris tonkinensis gagnep.,This is currently accepted.,wfo-0000197424,Derris tonkinensis Gagnep.,,,wfo-0000197424,bkf_original,False,False,False,False,Derris tonkinensis Gagnep.
Derris elegans Graham ex Benth.,wfo-0000186135,derris elegans graham ex benth.,This is currently accepted.,wfo-0000186135,Derris elegans Benth.,,,wfo-0000186135,bkf_original,False,False,False,False,Derris elegans Benth.
Derris laotica Gagnep.,wfo-0000200305,derris laotica gagnep.,This is currently accepted.,wfo-0000200305,Derris laotica Gagnep.,,,wfo-0000200305,bkf_original,False,False,False,False,Derris laotica Gagnep.
Derris trifoliata Lour.,wfo-0000198908,derris trifoliata lour.,This is currently accepted.,wfo-0000198908,Derris trifoliata Lour.,,,wfo-0000198908,bkf_original,False,False,False,False,Derris trifoliata Lour.
Derris ferruginea (Roxb.) Benth.,wfo-0000198863,derris ferruginea (roxb.) benth.,This is currently accepted.,,,wfo-0000198863,Derris ferruginea (Wall. ex Voigt) Benth.,wfo-0000198863,bkf_original,False,False,False,False,
Derris pubipetala Miq.,wfo-0000206779,derris pubipetala miq.,This is currently accepted.,wfo-0000206779,Derris pubipetala Miq.,,,wfo-0000206779,bkf_original,False,False,False,False,Derris pubipetala Miq.
Derris monticola (Kurz) Prain,wfo-0000200308,derris monticola (kurz) prain,This is currently accepted.,wfo-0000200308,Derris monticola (Kurz) Prain,,,wfo-0000200308,bkf_original,False,False,False,False,Derris monticola (Kurz) Prain
Derris amoena Benth.,wfo-0000185932,derris amoena benth.,This is currently accepted.,wfo-0000185932,Derris amoena Benth.,,,wfo-0000185932,bkf_original,False,False,False,False,Derris amoena Benth.
Derris glabra Sirich.,wfo-0001333801,derris glabra sirich.,This is currently accepted.,wfo-0001333801,Derris glabra Sirich.,,,wfo-0001333801,bkf_original,False,False,False,False,Derris glabra Sirich.
Derris pseudomarginata Sirich.,wfo-0001333802,derris pseudomarginata sirich.,This is currently accepted.,wfo-0001333802,Derris pseudomarginata Sirich.,,,wfo-0001333802,bkf_original,False,False,False,False,Derris pseudomarginata Sirich.
Derris elliptica (Wall.) Benth.,wfo-0000186905,derris elliptica (wall.) benth.,This is currently accepted.,wfo-0000186905,Derris elliptica (Wall.) Benth.,,,wfo-0000186905,bkf_original,False,False,False,False,Derris elliptica (Wall.) Benth.
Derris cuneifolia Benth.,wfo-0000185928,derris cuneifolia benth.,This is currently accepted.,wfo-0000185928,Derris cuneifolia Benth.,,,wfo-0000185928,bkf_original,False,False,False,False,Derris cuneifolia Benth.
Derris montana Benth.,wfo-0000206771,derris montana benth.,This is currently accepted.,wfo-0000206771,Derris montana Benth.,,,wfo-0000206771,bkf_original,False,False,False,False,Derris montana Benth.
Diphyllarium mekongense Gagnep.,wfo-0000193243,diphyllarium mekongense gagnep.,This is currently accepted.,wfo-0000193243,Diphyllarium mekongense Gagnep.,,,wfo-0000193243,bkf_original,False,False,False,False,Diphyllarium mekongense Gagnep.
Dolichos fragrans Kerr,wfo-0000200420,dolichos fragrans kerr,This is currently accepted.,wfo-0000200420,Dolichos fragrans Kerr,,,wfo-0000200420,bkf_original,False,False,False,False,Dolichos fragrans Kerr
