wfo_id,wfo_full_name,wfo_check,input_name_string
wfo-0000914700,Typhonium sinhabaedyae Hett. & A.Galloway,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/sinhabaedyae,typhonium sinhabaedyai hett. & a.galloway
wfo-0000328864,Typhonium acetosella Gagnep.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/acetosella,typhonium acetosella gagnep.
wfo-0000328955,Typhonium orbifolium Hett. & Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/orbifolium,typhonium orbifolium hett. & sookch.
wfo-0000328921,Typhonium griseum Hett. & Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/griseum,typhonium griseum hett. & sookch.
wfo-0000328941,Typhonium laoticum Gagnep.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/laoticum,typhonium laoticum gagnep.
wfo-0000918808,Sauromatum hirsutum (S.Y.Hu) Cusimano & Hett.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Sauromatum/hirsutum,sauromatum hirsutum (s.y.hu) cusimano & hett.
wfo-0000304971,Sauromatum horsfieldii Miq.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Sauromatum/horsfieldii,sauromatum horsfieldii miq.
wfo-0000918798,Sauromatum tentaculatum (Hett.) Cusimano & Hett.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Sauromatum/tentaculatum,sauromatum tentaculatum (hett.) cusimano & hett.
wfo-1000005106,Kiewia perakensis (Engl.) S.Y.Wong & P.C.Boyce,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Kiewia/perakensis,kiewia perakensis
,,1 candidates found.,apoballis brevipes (hook.f.) s.y.wong & p.c.boyce
,,1 candidates found.,apoballis mutata (scort. ex hook.f.) s.y.wong & p.c.boyce.
wfo-0000306601,Schismatoglottis brevicuspis Hook.f.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Schismatoglottis/brevicuspis,schismatoglottis brevicuspis hook.f.
wfo-0000306605,Schismatoglottis calyptrata (Roxb.) Zoll. & Moritzi,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Schismatoglottis/calyptrata,schismatoglottis calyptrata (roxb.) zoll. & moritzi
wfo-0000306788,Schismatoglottis wallichii Hook.f.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Schismatoglottis/wallichii,schismatoglottis wallichii hook.f.
wfo-0000283970,Pseudodracontium harmandii Engl.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Amorphophallus/flotoi$Pseudodracontium/harmandii,pseudodracontium harmandii engl.
,,10 candidates found.,group of pseudodracontium lacourii (linden & andré) n.e.br.
wfo-0000283979,Pseudodracontium macrophyllum Gagnep. ex Serebryanyi,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Amorphophallus/macrophyllus$Pseudodracontium/macrophyllum,pseudodracontium macrophyllum gagnep. ex serebryanyi
wfo-0000350733,Acorus calamus L.,Code/Plantae/Pteridobiotina/Angiosperms/Acorales/Acoraceae/Acorus/calamus,acorus calamus l.
wfo-0000352676,Acorus gramineus Aiton,Code/Plantae/Pteridobiotina/Angiosperms/Acorales/Acoraceae/Acorus/gramineus,acorus gramineus aiton
wfo-0000227515,Licuala peltata Roxb. ex Buch.-Ham.,Code/Plantae/Pteridobiotina/Angiosperms/Arecales/Arecaceae/Licuala/peltata,licuala peltata roxb. ex buch.-ham.
wfo-0000217393,Iguanura tenuis Hodel,Code/Plantae/Pteridobiotina/Angiosperms/Arecales/Arecaceae/Iguanura/divergens$Iguanura/tenuis,iguanura tenuis hodel
,,1 candidates found.,calamus bousigonii becc.
wfo-0000756628,Calamus insignis Griff.,Code/Plantae/Pteridobiotina/Angiosperms/Arecales/Arecaceae/Calamus/insignis,calamus insignis griff.
wfo-0000813933,Lobelia alsinoides Lam.,Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Campanulaceae/Lobelia/alsinoides,lobelia alsinoides lam.
wfo-0000830536,Codonopsis javanica Hook.f. & Thomson,Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Campanulaceae/Codonopsis/javanica,codonopsis javanica
,,No candidates found,
,,No candidates found,
,,No candidates found,
wfo-0000331409,Vanilla aphylla Blume,Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Vanilla/aphylla,vanilla aphylla blume
wfo-0000331468,Vanilla griffithii Rchb.f.,Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Vanilla/griffithii,vanilla griffithii rchb.f.
wfo-0000331425,Vanilla borneensis Rolfe,Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Vanilla/borneensis,vanilla borneensis
wfo-0000331401,Vanilla albida Blume,Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Vanilla/albida,vanilla albida blume
wfo-0000331563,Vanilla siamensis Rolfe ex Downie,Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Vanilla/siamensis,vanilla siamensis rolfe ex downie
wfo-0000967923,Galeola nudifolia Lour.,Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Galeola/nudifolia,galeola nudifolia lour.
wfo-0000967901,Galeola cathcartii Hook.f.,Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Galeola/cathcartii,galeola cathcartii hook.f.
wfo-0000954229,Erythrorchis altissima (Blume) Blume,Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Erythrorchis/altissima,erythrorchis altissima (blume) blume
