score,wfo_id,wfo_full_name,wfo_check,specific_name
1,wfo-0000457720,"Trema acuminatissima (Miq.) Boerl.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/angustifolium$Trema/acuminatissima,"Trema tomentosa (Roxb.) H.Hara"
1,wfo-0001249752,"Ulmus lanceifolia Roxb.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Ulmaceae/Ulmus/lanceifolia,"Ulmus lanceifolia Roxb. ex Wall."
1,wfo-0000523138,"Agapetes saxicola Craib ex Kerr",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ericaceae/Vaccinioideae/Agapetes/saxicola,"Agapetes saxicola Craib"
1,wfo-0001048503,"Vaccinium ardisioides Hook.f. ex C.B.Clarke",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ericaceae/Vaccinioideae/Vaccinium/ardisioides,"Vaccinium ardisioides Hook.f. ex. C.B.Clarke"
1,wfo-4000039926,"Vaccinium L.",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ericaceae/Vaccinioideae/Vaccinium,"Vaccinium grifﬁthianum Wight"
10,wfo-0001229736,"Rhododendron moulmainense Hook.",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Choniastrum/moulmainense,"Rhododendron moulmeinense Hook."
9,wfo-0001262594,"Rhododendron moulmainense var. calcaratum G.Z.Li",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Choniastrum/westlandii$Rhododendron/moulmainense/calcaratum,"Rhododendron moulmeinense Hook."
8,wfo-0000400267,"Rhododendron moultonii Ridl.",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Vireya/Schistanthe/Euvireya/javanicum/moultonii$Rhododendron/moultonii,"Rhododendron moulmeinense Hook."
7,wfo-0001048074,"Rhododendron moupinense Franch.",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Rhododendron/Rhododendron/Moupinensia/moupinense,"Rhododendron moulmeinense Hook."
6,wfo-0000400294,"Rhododendron modestum Hook.f.",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Rhododendron/Rhododendron/Edgeworthia/pendulum$Rhododendron/modestum,"Rhododendron moulmeinense Hook."
5,wfo-0000400295,"Rhododendron mogeanum Argent",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Vireya/Schistanthe/Solenovireya/mogeanum,"Rhododendron moulmeinense Hook."
4,wfo-0000400297,"Rhododendron molle (Blume) G.Don",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Hymenanthes/Pentanthera/Sinensia/molle,"Rhododendron moulmeinense Hook."
3,wfo-1200112464,"Rhododendron molle Siebold & Zucc.",unplaced,"Rhododendron moulmeinense Hook."
2,wfo-0001325643,"Rhododendron molle f. canescens (Sugim.) Yonek.",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Hymenanthes/Pentanthera/Sinensia/molle/japonicum$Rhododendron/molle/canescens,"Rhododendron moulmeinense Hook."
1,wfo-0001325650,"Rhododendron molle f. flavum (Miyoshi) Yonek.",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Hymenanthes/Pentanthera/Sinensia/molle/japonicum$Rhododendron/molle/flavum,"Rhododendron moulmeinense Hook."
1,wfo-0000046322,"Cyathocline purpurea Kuntze",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Inuleae/Cyathocline/purpurea,"Cyathocline purpurea (Buch.-Ham. ex D.Don) Kuntze"
2,wfo-0000049932,"Erechtites valerianifolius (Wolf) DC.",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Senecioneae/Erechtites/valerianifolius,"Erechtites valerianifolius (Link ex Spreng.) Less. ex DC."
1,wfo-0000082462,"Erechtites valerianifolius (Link ex Spreng.) DC.",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Senecioneae/Erechtites/valerianifolia$Erechtites/valerianifolius,"Erechtites valerianifolius (Link ex Spreng.) Less. ex DC."
1,wfo-0000029172,"Pseudoconyza viscosa (Mill.) D'Arcy",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Inuleae/Blumea/viscosa$Pseudoconyza/viscosa,"Pseudoconyza viscosa (Mill.) D’Arcy"
2,wfo-0000089788,"Laggera alata (DC.) Sch.Bip. ex Oliv.",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Inuleae/Laggera/alata,"Laggera alata (D.Don) Sch.Bip. ex Oliv."
1,wfo-1000050902,"Laggera alata Nanth.",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Inuleae/Laggera/alata,"Laggera alata (D.Don) Sch.Bip. ex Oliv."
1,wfo-0000077706,"Pluchea indica Less.",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Inuleae/Pluchea/indica,"Pluchea indica (L.) Less."
1,wfo-0000074612,"Blumea riparia DC.",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Inuleae/Blumea/riparia,"Blumea riparia (Blume) DC."
1,wfo-0000030277,"Blumea lanceolaria Druce",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Inuleae/Blumea/lanceolaria,"Blumea lanceolaria (Roxb.) Druce"
1,wfo-0000069656,"Blumea fistulosa Kurz",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Inuleae/Blumea/fistulosa,"Blumea fistulosa (Roxb.) Kurz"
1,wfo-0000025240,"Blumea hossei Craib ex Hosseus",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Inuleae/Blumea/hossei,"Blumea hossei Craib"
2,wfo-0000044299,"Blumea hieraciifolia (Spreng.) DC.",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Inuleae/Blumea/hieraciifolia,"Blumea hieraciifolia (D.Don) DC."
1,wfo-0000132565,"Blumea hieraciifolia Hook.f. & Thomson",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Inuleae/Blumea/lacera$Blumea/hieraciifolia,"Blumea hieraciifolia (D.Don) DC."
1,wfo-0000068869,"Blumea axillaris DC.",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Inuleae/Blumea/axillaris,"Blumea axillaris (Lam.) DC."
3,wfo-0000050095,"Pseudelephantopus spicatus (B.Juss. ex Aubl.) Rohr ex C.F.Baker",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Vernonioideae/Vernonieae/Pseudelephantopus/spicatus,"Pseudelephantopus spicatus (Juss. ex Aubl.) Rohr ex C.F.Baker"
2,wfo-0000052510,"Pseudelephantopus spicatus (Juss. ex Aubl.) Rohr",unplaced,"Pseudelephantopus spicatus (Juss. ex Aubl.) Rohr ex C.F.Baker"
1,wfo-0000101683,"Pseudelephantopus spicatus (Juss.) R.Br.",unplaced,"Pseudelephantopus spicatus (Juss. ex Aubl.) Rohr ex C.F.Baker"
1,wfo-0000070018,"Senecio wightii Benth. ex C.B.Clarke",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Senecioneae/Senecio/wightii,"Senecio wightii (DC.) Benth. ex C.B.Clarke"
1,wfo-0000133716,"Crassocephalum crepidioides S.Moore",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Senecioneae/Crassocephalum/crepidioides,"Crassocephalum crepidioides (Benth.) S.Moore"
1,wfo-0000006036,"Gynura bicolor (Roxb. ex Willd.) DC.",Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Asteraceae/Asteroideae/Senecioneae/Gynura/bicolor,"Gynura bicolor (Roxb.) DC."
