volume,family_name,family_url,family_max_index_expected,family_missing_indices,genus_count_observed
11,Daphniphyllaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Daphniphyllaceae&volumeno=11,,,1
11,Erythroxylaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Erythroxylaceae&volumeno=11,,,1
11,Helwingiaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Helwingiaceae&volumeno=11,,,1
11,Lentibulariaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Lentibulariaceae&volumeno=11,,,1
11,Monimiaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Monimiaceae&volumeno=11,,,1
11,Ranunculaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Ranunculaceae&volumeno=11,5.0,,5
11,Stemonaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Stemonaceae&volumeno=11,2.0,,2
11,Araceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,26.0,,31
11,Acoraceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Acoraceae&volumeno=11,,,1
11,Arecaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Arecaceae&volumeno=11,33.0,,33
11,Campanulaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Campanulaceae&volumeno=11,10.0,,10
11,Elatinaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Elatinaceae&volumeno=11,2.0,,2
11,Lythraceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Lythraceae&volumeno=11,11.0,,11
11,Onagraceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Onagraceae&volumeno=11,3.0,,3
11,Ruppiaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Ruppiaceae&volumeno=11,,,1
11,Sapotaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Sapotaceae&volumeno=11,10.0,,10
11,Staphyleaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Staphyleaceae&volumeno=11,,,1
12,Orchidaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Orchidaceae&volumeno=12,115.0,,115
13,Achariaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Achariaceae&volumeno=13,4.0,,4
13,Salicaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Salicaceae&volumeno=13,9.0,,10
13,Adoxaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Adoxaceae&volumeno=13,2.0,,2
13,Caprifoliaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Caprifoliaceae&volumeno=13,,,1
13,Cannabaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Cannabaceae&volumeno=13,4.0,,4
13,Ulmaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Ulmaceae&volumeno=13,2.0,,2
13,Ericaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Ericaceae&volumeno=13,7.0,,7
13,Compositae (Asteraceae),https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Compositae (Asteraceae)&volumeno=13,107.0,3,107
13,Dipsacaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Dipsacaceae&volumeno=13,2.0,,2
13,Eriocaulaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Eriocaulaceae&volumeno=13,,,1
13,Juglandaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Juglandaceae&volumeno=13,2.0,,2
13,Melanthiaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Melanthiaceae&volumeno=13,2.0,,2
13,Oleaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Oleaceae&volumeno=13,10.0,,10
13,Plumbanginaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Plumbanginaceae&volumeno=13,3.0,,3
13,Polyosmaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Polyosmaceae&volumeno=13,,,1
